2018-06-06 18:44:20.701 GMT+08:00 Wed |    Debug | T0000012916 | ..\src\udx_manager.cpp:UdxManager::do_download:01861 | [manager] do download thread - 1 end
2018-06-06 18:44:20.701 GMT+08:00 Wed |    Debug | T0000012916 | ..\src\udx_manager.cpp:download_thread_run:00215 | download thread - 1 run end
2018-06-06 18:44:20.701 GMT+08:00 Wed |    Debug | T0000006256 | ..\src\udx_manager.cpp:download_thread_run:00215 | download thread - 0 run end
2018-06-06 18:44:20.701 GMT+08:00 Wed |    Debug | T0000008780 | ..\src\udx_manager.cpp:UdxManager::do_upload:01506 | [manager] do upload thread - 1 end
2018-06-06 18:44:20.701 GMT+08:00 Wed |    Debug | T0000009568 | ..\src\udx_session.cpp:IUdxSession::send_disconnect_request:00293 | [uploader - 10672544] send disconnect request
2018-06-06 18:44:20.701 GMT+08:00 Wed |    Debug | T0000008780 | ..\src\udx_manager.cpp:upload_thread_run:00201 | upload thread - 1 run end
2018-06-06 18:44:20.734 GMT+08:00 Wed |    Debug | T0000010364 | ..\src\udx_manager.cpp:UdxManager::do_resolve:01115 | [manager] do resolve thread - 0 end
2018-06-06 18:44:20.734 GMT+08:00 Wed |    Debug | T0000010364 | ..\src\udx_manager.cpp:resolve_thread_run:00173 | resolve thread - 0 run end
2018-06-06 18:44:20.734 GMT+08:00 Wed |    Debug | T0000012208 | ..\src\udx_manager.cpp:UdxManager::do_check:01165 | [manager] do check thread - 0 end
2018-06-06 18:44:20.734 GMT+08:00 Wed |    Debug | T0000012208 | ..\src\udx_manager.cpp:check_thread_run:00187 | check thread - 0 run end
2018-06-06 18:44:20.751 GMT+08:00 Wed |    Debug | T0000009568 | ..\src\udx_manager.cpp:UdxManager::clear:00518 | [manager] wait fast udx destroy begin
2018-06-06 18:44:20.814 GMT+08:00 Wed |    Debug | T0000009568 | ..\src\udx_manager.cpp:UdxManager::clear:00520 | [manager] wait fast udx destroy end
2018-06-06 18:44:20.814 GMT+08:00 Wed |    Debug | T0000009568 | ..\src\udx_manager.cpp:UdxManager::clear:00551 | [manager] wait threads exit begin
2018-06-06 18:44:20.814 GMT+08:00 Wed |    Debug | T0000009568 | ..\src\udx_manager.cpp:UdxManager::clear:00553 | [manager] wait threads exit end
2018-06-06 18:44:20.814 GMT+08:00 Wed |    Debug | T0000009568 | ..\src\udx_manager.cpp:UdxManager::clear:00555 | [manager] clear end
2018-06-06 18:44:20.814 GMT+08:00 Wed |    Debug | T0000009568 | ..\src\udx_manager.cpp:UdxManager::exit:00487 | [manager] exit end
2018-06-06 18:44:22.036 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::init:00278 | [manager] init begin
2018-06-06 18:44:22.036 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::init:00339 | [manager] remote is transmit server, set transmit server: [42.123.110.47:8885]
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::init:00375 | [manager] max uploader count: 2, max downloader count: 2
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000001684 | ..\src\udx_manager.cpp:download_thread_run:00212 | download thread - 0 run begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000001684 | ..\src\udx_manager.cpp:UdxManager::do_download:01660 | [manager] do download thread - 0 begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000011736 | ..\src\udx_manager.cpp:download_thread_run:00212 | download thread - 1 run begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000008592 | ..\src\udx_manager.cpp:upload_thread_run:00198 | upload thread - 0 run begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000011736 | ..\src\udx_manager.cpp:UdxManager::do_download:01660 | [manager] do download thread - 1 begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000008592 | ..\src\udx_manager.cpp:UdxManager::do_upload:01280 | [manager] do upload thread - 0 begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_manager.cpp:upload_thread_run:00198 | upload thread - 1 run begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::init:00471 | [manager] init success
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000012836 | ..\src\udx_manager.cpp:check_thread_run:00184 | check thread - 0 run begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000010624 | ..\src\udx_manager.cpp:resolve_thread_run:00170 | resolve thread - 0 run begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_manager.cpp:UdxManager::do_upload:01280 | [manager] do upload thread - 1 begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000012836 | ..\src\udx_manager.cpp:UdxManager::do_check:01126 | [manager] do check thread - 0 begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000010624 | ..\src\udx_manager.cpp:UdxManager::do_resolve:01067 | [manager] do resolve thread - 0 begin
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::push_upload_task:00791 | push upload [task:0, job:1] success
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_manager.cpp:UdxManager::do_upload:01306 | [upload | thread - 1 | uploader - 10869152] task info: [project:3441, user:1852991] (E:/Workspaces/3dmax/2014/OGLdpf.log) -> (/1852500/1852991//E/Workspaces/3dmax/2014/OGLdpf.log/E/Workspaces/3dmax/2014/OGLdpf.log)
2018-06-06 18:44:22.056 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_manager.cpp:UdxManager::do_upload:01322 | [upload | thread - 1 | uploader - 10869152] upload begin: [task:0, job:1] (E:/Workspaces/3dmax/2014/OGLdpf.log)
2018-06-06 18:44:22.057 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_session.cpp:IUdxSession::send_connect_request:00248 | [uploader - 10869152] acquire udx tcp success
2018-06-06 18:44:22.057 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_session.cpp:IUdxSession::send_connect_request:00265 | [uploader - 10869152] send connect request, with server: [42.123.110.47:8885]
2018-06-06 18:44:22.113 GMT+08:00 Wed |    Debug | T0000001124 | ..\src\udx_session.cpp:IUdxSession::recv_connect_response:00336 | [uploader - 10869152] recv connect response
2018-06-06 18:44:22.185 GMT+08:00 Wed |    Debug | T0000001124 | ..\src\udx_conveyer.cpp:IUdxConveyer::on_recv_set_user_information_response:01006 | [uploader - 10869152] parse set user information response success
2018-06-06 18:44:22.185 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_session.cpp:IUdxSession::set_max_send_speed:00153 | [uploader - 10869152] set max upload speed: 1048576KB/S
2018-06-06 18:44:22.424 GMT+08:00 Wed |    Debug | T0000001124 | ..\src\udx_uploader.cpp:UdxUploader::on_recv_set_remote_directory_response:00215 | [uploader - 10869152] parse set remote directory response success
2018-06-06 18:44:22.515 GMT+08:00 Wed |    Debug | T0000001124 | ..\src\udx_conveyer.cpp:IUdxConveyer::on_transmit_begin:00694 | [uploader - 10869152] file transmit begin notify: notify file name (E:/Workspaces/3dmax/2014/OGLdpf.log)
2018-06-06 18:44:22.515 GMT+08:00 Wed |    Debug | T0000001124 | ..\src\udx_conveyer.cpp:IUdxConveyer::on_transmit_done:00719 | [uploader - 10869152] file transmit done notify: notify file name (E:/Workspaces/3dmax/2014/OGLdpf.log)
2018-06-06 18:44:22.515 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_manager.cpp:UdxManager::do_upload:01488 | [upload | thread - 1 | uploader - 10869152] upload success: [task:0, job:1] (E:/Workspaces/3dmax/2014/OGLdpf.log), directory count (0), file count (1)
2018-06-06 18:44:22.515 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_manager.cpp:UdxManager::do_upload:01498 | [upload | thread - 1 | uploader - 10869152] upload end: [task:0, job:1] (E:/Workspaces/3dmax/2014/OGLdpf.log)
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::exit:00485 | [manager] exit begin
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::clear:00493 | [manager] clear begin
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000001684 | ..\src\udx_manager.cpp:UdxManager::do_download:01861 | [manager] do download thread - 0 end
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000001684 | ..\src\udx_manager.cpp:download_thread_run:00215 | download thread - 0 run end
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_manager.cpp:UdxManager::do_upload:01506 | [manager] do upload thread - 1 end
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000011736 | ..\src\udx_manager.cpp:UdxManager::do_download:01861 | [manager] do download thread - 1 end
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000009680 | ..\src\udx_manager.cpp:upload_thread_run:00201 | upload thread - 1 run end
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000011736 | ..\src\udx_manager.cpp:download_thread_run:00215 | download thread - 1 run end
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000008592 | ..\src\udx_manager.cpp:UdxManager::do_upload:01506 | [manager] do upload thread - 0 end
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000008592 | ..\src\udx_manager.cpp:upload_thread_run:00201 | upload thread - 0 run end
2018-06-06 18:44:23.056 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_session.cpp:IUdxSession::send_disconnect_request:00293 | [uploader - 10869152] send disconnect request
2018-06-06 18:44:23.084 GMT+08:00 Wed |    Debug | T0000010624 | ..\src\udx_manager.cpp:UdxManager::do_resolve:01115 | [manager] do resolve thread - 0 end
2018-06-06 18:44:23.084 GMT+08:00 Wed |    Debug | T0000010624 | ..\src\udx_manager.cpp:resolve_thread_run:00173 | resolve thread - 0 run end
2018-06-06 18:44:23.084 GMT+08:00 Wed |    Debug | T0000012836 | ..\src\udx_manager.cpp:UdxManager::do_check:01165 | [manager] do check thread - 0 end
2018-06-06 18:44:23.084 GMT+08:00 Wed |    Debug | T0000012836 | ..\src\udx_manager.cpp:check_thread_run:00187 | check thread - 0 run end
2018-06-06 18:44:23.134 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::clear:00518 | [manager] wait fast udx destroy begin
2018-06-06 18:44:23.162 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::clear:00520 | [manager] wait fast udx destroy end
2018-06-06 18:44:23.162 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::clear:00551 | [manager] wait threads exit begin
2018-06-06 18:44:23.162 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::clear:00553 | [manager] wait threads exit end
2018-06-06 18:44:23.162 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::clear:00555 | [manager] clear end
2018-06-06 18:44:23.162 GMT+08:00 Wed |    Debug | T0000012832 | ..\src\udx_manager.cpp:UdxManager::exit:00487 | [manager] exit end
2018-06-06 18:47:45.476 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::init:00278 | [manager] init begin
2018-06-06 18:47:45.476 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::init:00339 | [manager] remote is transmit server, set transmit server: [42.123.110.47:8885]
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::init:00375 | [manager] max uploader count: 2, max downloader count: 2
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000013104 | ..\src\udx_manager.cpp:download_thread_run:00212 | download thread - 0 run begin
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000013104 | ..\src\udx_manager.cpp:UdxManager::do_download:01660 | [manager] do download thread - 0 begin
